 Integration limits in each dimension: x1 = -1.00000 and x2 = 1.00000
 n,        Result with Gauss-Legendre,      Exact result,       Relative error,     Calculation time [s]
    1,              0.000000000,             0.1927657110,               1.000,           1.700E-05
    2,            0.01324458390,             0.1927657110,              0.9313,           4.000E-05
    3,             0.2961864436,             0.1927657110,              0.5365,           0.0003270
    4,            0.08515230830,             0.1927657110,              0.5583,            0.001853
    5,             0.2029830548,             0.1927657110,             0.05300,            0.006061
    6,             0.1258741773,             0.1927657110,              0.3470,             0.01434
    7,             0.1737013715,             0.1927657110,             0.09890,             0.03042
    8,             0.1430262875,             0.1927657110,              0.2580,             0.06839
    9,             0.1649063384,             0.1927657110,              0.1445,              0.1364
   10,             0.1510925657,             0.1927657110,              0.2162,              0.2520
   11,             0.1623147865,             0.1927657110,              0.1580,              0.4473
   12,             0.1553980453,             0.1927657110,              0.1939,              0.7496
   13,             0.1617062654,             0.1927657110,              0.1611,               1.211
   14,             0.1579384110,             0.1927657110,              0.1807,               1.948
   15,             0.1617499734,             0.1927657110,              0.1609,               2.952
   16,             0.1595560166,             0.1927657110,              0.1723,               4.487
   17,             0.1619954648,             0.1927657110,              0.1596,               6.452
   18,             0.1606480684,             0.1927657110,              0.1666,               8.879
   19,             0.1622838079,             0.1927657110,              0.1581,               11.55
   20,             0.1614198047,             0.1927657110,              0.1626,               16.98
   21,             0.1625594843,             0.1927657110,              0.1567,               21.95
   22,             0.1619854406,             0.1927657110,              0.1597,               28.95
   23,             0.1628053176,             0.1927657110,              0.1554,               37.60
   24,             0.1624125012,             0.1927657110,              0.1575,               48.21
   25,             0.1630184974,             0.1927657110,              0.1543,               63.04
   26,             0.1627429476,             0.1927657110,              0.1557,               78.80
   27,             0.1632013540,             0.1927657110,              0.1534,               98.11
   28,             0.1630039624,             0.1927657110,              0.1544,               123.9
   29,             0.1633577383,             0.1927657110,              0.1526,               150.7
   30,             0.1632137833,             0.1927657110,              0.1533,               183.3
   31,             0.1634916220,             0.1927657110,              0.1519,               210.5
