X, val
-1, 0.0183156
-0.980198, 0.0202259
-0.960396, 0.0223445
-0.940594, 0.0246955
-0.920792, 0.027306
-0.90099, 0.0302065
-0.881188, 0.0334311
-0.861386, 0.0370187
-0.841584, 0.041013
-0.821782, 0.0454633
-0.80198, 0.0504259
-0.782178, 0.0559644
-0.762376, 0.0621509
-0.742574, 0.0690679
-0.722772, 0.0768094
-0.70297, 0.0854828
-0.683168, 0.0952111
-0.663366, 0.106136
-0.643564, 0.118419
-0.623762, 0.13225
-0.60396, 0.147844
-0.584158, 0.165456
-0.564356, 0.185378
-0.544554, 0.207956
-0.524752, 0.233592
-0.50495, 0.262762
-0.485149, 0.29603
-0.465347, 0.334067
-0.445545, 0.377675
-0.425743, 0.427821
-0.405941, 0.485676
-0.386139, 0.552669
-0.366337, 0.630562
-0.346535, 0.721541
-0.326733, 0.828351
-0.306931, 0.954479
-0.287129, 1.10441
-0.267327, 1.284
-0.247525, 1.50102
-0.227723, 1.76603
-0.207921, 2.09366
-0.188119, 2.50479
-0.168317, 3.03023
-0.148515, 3.71735
-0.128713, 4.64281
-0.108911, 5.93924
-0.0891089, 7.85744
-0.0693069, 10.9352
-0.049505, 16.5711
-0.029703, 29.8952
-0.00990099, 97.0782
0.00990099, 97.0782
0.029703, 29.8952
0.049505, 16.5711
0.0693069, 10.9352
0.0891089, 7.85744
0.108911, 5.93924
0.128713, 4.64281
0.148515, 3.71735
0.168317, 3.03023
0.188119, 2.50479
0.207921, 2.09366
0.227723, 1.76603
0.247525, 1.50102
0.267327, 1.284
0.287129, 1.10441
0.306931, 0.954479
0.326733, 0.828351
0.346535, 0.721541
0.366337, 0.630562
0.386139, 0.552669
0.405941, 0.485676
0.425743, 0.427821
0.445545, 0.377675
0.465347, 0.334067
0.485149, 0.29603
0.50495, 0.262762
0.524752, 0.233592
0.544554, 0.207956
0.564356, 0.185378
0.584158, 0.165456
0.60396, 0.147844
0.623762, 0.13225
0.643564, 0.118419
0.663366, 0.106136
0.683168, 0.0952111
0.70297, 0.0854828
0.722772, 0.0768094
0.742574, 0.0690679
0.762376, 0.0621509
0.782178, 0.0559644
0.80198, 0.0504259
0.821782, 0.0454633
0.841584, 0.041013
0.861386, 0.0370187
0.881188, 0.0334311
0.90099, 0.0302065
0.920792, 0.027306
0.940594, 0.0246955
0.960396, 0.0223445
0.980198, 0.0202259
